Category/Section,Item Name,Item Description,Item Price,Item Image URL,Local Image Path
Offers,Sssscreamin Apple Pie Special,a slice of Apple Pie with one scoop of Vanilla ice cream topped with caramel and choice of whipped cream and nuts.,$16.99,https://tb-static.uber.com/prod/image-proc/processed_images/f4885e5e848debce78e1680cd8facdf3/3093d07d5a810674a6d7adf26679874b.jpeg,images\sssscreamin_apple_pie_special.jpeg
Offers,Screamin Fudge Brownie SPECIAL,A SLICE OF BROWNIE WITH HOT FUDGE &amp; A SCOOP OF gator trail ICE CREAM TOPPED WITH WHIPPED CREAM &amp; CHOCOLATE DRIZZLE,$16.99,https://tb-static.uber.com/prod/image-proc/processed_images/f26db1e75f3c7bbc2cad0e2d8867f4b8/3093d07d5a810674a6d7adf26679874b.jpeg,images\screamin_fudge_brownie_special.jpeg
Offers,Viral Dubai Chocolate Bar,"Handmade Chocolate Bar with Kitaifi and Pistachio butter sauce, (eat at room temperature) s",$9.99,https://tb-static.uber.com/prod/image-proc/processed_images/f1d20ce6f771f76548b7a3ac08d52bf2/bc9c318a9c96996e2d990faf2b0c65f6.jpeg,images\viral_dubai_chocolate_bar.jpeg
Freshly Baked Cookies,Sssscreamin Choc. Chip (3 Big Cookies),Freshly Baked 4.5oz cookies 100% bulk with Choclate Chip,$12.99,https://tb-static.uber.com/prod/image-proc/processed_images/749b100104d11a1c85050b5524fdfe05/4218ca1d09174218364162cd0b1a8cc1.jpeg,images\sssscreamin_choc._chip_(3_big_cookies).jpeg
Freshly Baked Cookies,Sssscreamin Reese's (3 BIG Cookies),Freshly Baked 4.5oz cookies Peanut Butter Cookie Dough with Chocolate chunks,$12.99,https://tb-static.uber.com/prod/image-proc/processed_images/530c3771db488c117005f412ef283a25/3093d07d5a810674a6d7adf26679874b.jpeg,images\sssscreamin_reese's_(3_big_cookies).jpeg
Freshly Baked Cookies,Reese’s Cookie (1 BIG Cookie),Freshly Baked 4.5oz cookies Peanut Butter Cookie Dough with Chocolate chunks,$4.99,,
Freshly Baked Cookies,Chocolate Chip Cookie (1 BIG Cookie),Freshly Baked 4.5oz cookies 100% bulk with Choclate Chip,$4.99,https://tb-static.uber.com/prod/image-proc/processed_images/532d0fc5178da7ddd36154fc19a11712/bc9c318a9c96996e2d990faf2b0c65f6.jpeg,images\chocolate_chip_cookie_(1_big_cookie).jpeg
Most Popular,Sssscreamin Apple Pie Special,a slice of Apple Pie with one scoop of Vanilla ice cream topped with caramel and choice of whipped cream and nuts.,$16.99,https://tb-static.uber.com/prod/image-proc/processed_images/f4885e5e848debce78e1680cd8facdf3/3093d07d5a810674a6d7adf26679874b.jpeg,images\sssscreamin_apple_pie_special.jpeg
Most Popular,Screamin Fudge Brownie SPECIAL,A SLICE OF BROWNIE WITH HOT FUDGE &amp; A SCOOP OF gator trail ICE CREAM TOPPED WITH WHIPPED CREAM &amp; CHOCOLATE DRIZZLE,$16.99,https://tb-static.uber.com/prod/image-proc/processed_images/f26db1e75f3c7bbc2cad0e2d8867f4b8/3093d07d5a810674a6d7adf26679874b.jpeg,images\screamin_fudge_brownie_special.jpeg
Most Popular,Sssscreamin OREO'S CAKE SPECIAL,SLICE OF OREO MOUSE CAKE MADE OUT OF DELICIOUS WHITE CHOCOLATE AND CHUNKS OF OREO'S TOPPED WITH ONE SCOOP of COOKIES &amp; CREAM HOT FUDGE WHIPPED CREAM AND EXTRA CHUNKS OF OREO'S,$14.99,https://tb-static.uber.com/prod/image-proc/processed_images/e570616a45fff4248d32323678d4379b/58f691da9eaef86b0b51f9b2c483fe63.jpeg,images\sssscreamin_oreo's_cake_special.jpeg
